,id,name,identifiers,neutral_formula,charge,charged_formula,neutral_mono_mass,SMILES,inchi
7774,pa1619Z183n3,"1-9-hexadecenoyl-2-9,12,15-octadecatrienoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa1619Z183n3'], ['BIGG', 'pa1619Z183n3_c']]",,0,,0.0,,
7775,pa182n6183n3,"1-9,12-octadecadienoyl-2-9,12,15-octadecatrienoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa182n6183n3'], ['BIGG', 'pa182n6183n3_c']]",,0,,0.0,,
7776,pa1819Z183n3,"1-9-octadecenoyl-2-9,12,15-octadecatrienoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa1819Z183n3'], ['BIGG', 'pa1819Z183n3_c']]",,0,,0.0,,
7777,pa205n3183n3,"1-5,8,11,14,17-eicosapentaenoyl-2-9,12,15-octadecatrienoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa205n3183n3'], ['BIGG', 'pa205n3183n3_c']]",,0,,0.0,,
7778,pa226n3183n3,"1-4,7,10,13,16,19-docosahexaenoyl-2-9,12,15-octadecatrienoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa226n3183n3'], ['BIGG', 'pa226n3183n3_c']]",,0,,0.0,,
7779,pa140204n6,"1-tetradecanoyl-2-5,8,11,14-eicosatetraenoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa140204n6'], ['BIGG', 'pa140204n6_c']]",,0,,0.0,,
7780,pa160204n6,"1-hexadecanoyl-2-5,8,11,14-eicosatetraenoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa160204n6'], ['BIGG', 'pa160204n6_c']]",,0,,0.0,,
7781,pa180204n6,"1-octadecanoyl-2-5,8,11,14-eicosatetraenoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa180204n6'], ['BIGG', 'pa180204n6_c']]",,0,,0.0,,
7782,pa182n6204n6,"1-9,12-octadecadienoyl-2-5,8,11,14-eicosatetraenoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa182n6204n6'], ['BIGG', 'pa182n6204n6_c']]",,0,,0.0,,
7783,pa205n3204n6,"1-5,8,11,14,17-eicosapentaenoyl-2-5,8,11,14-eicosatetraenoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa205n3204n6'], ['BIGG', 'pa205n3204n6_c']]",,0,,0.0,,
7784,pa226n3204n6,"1-4,7,10,13,16,19-docosahexaenoyl-2-5,8,11,14-eicosatetraenoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa226n3204n6'], ['BIGG', 'pa226n3204n6_c']]",,0,,0.0,,
7785,pc226n3204n6,"Phosphatidylcholine(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))","[['BIGG', 'pc226n3204n6'], ['BIGG', 'pc226n3204n6_c']]",,0,,0.0,,
7786,12dgr182n6140,"1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/14:0)","[['BIGG', '12dgr182n6140'], ['BIGG', '12dgr182n6140_c']]",,0,,0.0,,
7787,12dgr182n6160,"1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/16:0)","[['BIGG', '12dgr182n6160'], ['BIGG', '12dgr182n6160_c']]",,0,,0.0,,
7788,pa182n6160,"1-9,12-octadecadienoyl-2-hexadecanoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa182n6160'], ['BIGG', 'pa182n6160_c']]",,0,,0.0,,
7789,12dgr182n61619Z,"1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/16:1(9Z))","[['BIGG', '12dgr182n61619Z'], ['BIGG', '12dgr182n61619Z_c']]",,0,,0.0,,
7790,12dgr182n61819Z,"1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/18:1(9Z))","[['BIGG', '12dgr182n61819Z'], ['BIGG', '12dgr182n61819Z_c']]",,0,,0.0,,
7791,pa182n61819Z,"1-9,12-octadecadienoyl-2-9-octadecenoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa182n61819Z'], ['BIGG', 'pa182n61819Z_c']]",,0,,0.0,,
7792,12dgr1819Z182n6,"1,2-Diacyl-sn-glycerol(18:1(9Z)/18:2(9Z,12Z))","[['BIGG', '12dgr1819Z182n6'], ['BIGG', '12dgr1819Z182n6_c']]",,0,,0.0,,
7793,pa1819Z182n6,"1-9-octadecenoyl-2-9,12-octadecadienoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa1819Z182n6'], ['BIGG', 'pa1819Z182n6_c']]",,0,,0.0,,
7794,12dgr182n6205n3,"1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))","[['BIGG', '12dgr182n6205n3'], ['BIGG', '12dgr182n6205n3_c']]",,0,,0.0,,
7795,12dgr182n6226n3,"1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[['BIGG', '12dgr182n6226n3'], ['BIGG', '12dgr182n6226n3_c']]",,0,,0.0,,
7796,pa182n6226n3,"1-9,12-octadecadienoyl-2-4,7,10,13,16,19-docosahexaenoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa182n6226n3'], ['BIGG', 'pa182n6226n3_c']]",,0,,0.0,,
7797,12dgr205n3182n6,"1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/18:2(9Z,12Z))","[['BIGG', '12dgr205n3182n6'], ['BIGG', '12dgr205n3182n6_c']]",,0,,0.0,,
7798,12dgr226n3182n6,"1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))","[['BIGG', '12dgr226n3182n6'], ['BIGG', '12dgr226n3182n6_c']]",,0,,0.0,,
7799,pa226n3182n6,"1-4,7,10,13,16,19-docosahexaenoyl-2-9,12-octadecadienoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa226n3182n6'], ['BIGG', 'pa226n3182n6_c']]",,0,,0.0,,
7800,12dgr180183n6,"1,2-Diacyl-sn-glycerol(18:0/18:3(6Z,9Z,12Z))","[['BIGG', '12dgr180183n6'], ['BIGG', '12dgr180183n6_c']]",,0,,0.0,,
7801,12dgr1819Z183n6,"1,2-Diacyl-sn-glycerol(18:1(9Z)/18:3(6Z,9Z,12Z))","[['BIGG', '12dgr1819Z183n6'], ['BIGG', '12dgr1819Z183n6_c']]",,0,,0.0,,
7802,pa1819Z183n6,"1-9-octadecenoyl-2-6,9,12-octadecatrienoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa1819Z183n6'], ['BIGG', 'pa1819Z183n6_c']]",,0,,0.0,,
7803,12dgr226n3183n6,"1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z))","[['BIGG', '12dgr226n3183n6'], ['BIGG', '12dgr226n3183n6_c']]",,0,,0.0,,
7804,12dgr140183n3,"1,2-Diacyl-sn-glycerol(14:0/18:3(9Z,12Z,15Z))","[['BIGG', '12dgr140183n3'], ['BIGG', '12dgr140183n3_c']]",,0,,0.0,,
7805,12dgr226n3183n3,"1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z))","[['BIGG', '12dgr226n3183n3'], ['BIGG', '12dgr226n3183n3_c']]",,0,,0.0,,
7806,12dgr140204n6,"1,2-Diacyl-sn-glycerol(14:0/20:4(5Z,8Z,11Z,14Z))","[['BIGG', '12dgr140204n6'], ['BIGG', '12dgr140204n6_c']]",,0,,0.0,,
7807,12dgr180204n6,"1,2-Diacyl-sn-glycerol(18:0/20:4(5Z,8Z,11Z,14Z))","[['BIGG', '12dgr180204n6'], ['BIGG', '12dgr180204n6_c']]",,0,,0.0,,
7808,12dgr182n6204n6,"1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","[['BIGG', '12dgr182n6204n6'], ['BIGG', '12dgr182n6204n6_c']]",,0,,0.0,,
7809,12dgr205n3204n6,"1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/20:4(5Z,8Z,11Z,14Z))","[['BIGG', '12dgr205n3204n6'], ['BIGG', '12dgr205n3204n6_c']]",,0,,0.0,,
7810,12dgr226n3204n6,"1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))","[['BIGG', '12dgr226n3204n6'], ['BIGG', '12dgr226n3204n6_c']]",,0,,0.0,,
7811,cdp12dgr160,"CDP-1,2-diacyl-sn-glycerol(16:0/16:0)","[['BIGG', 'cdp12dgr160'], ['BIGG', 'cdp12dgr160_c']]",,0,,0.0,,
7812,cdp12dgr1601619Z,"CDP-1,2-diacyl-sn-glycerol(16:0/16:1(9Z))","[['BIGG', 'cdp12dgr1601619Z'], ['BIGG', 'cdp12dgr1601619Z_c']]",,0,,0.0,,
7813,pa1601619Z,1-hexadecanoyl-2-9-hexadecenoyl-sn-glycerol-3-phosphate,"[['BIGG', 'pa1601619Z'], ['BIGG', 'pa1601619Z_c']]",,0,,0.0,,
7814,cdp12dgr1619Z160,"CDP-1,2-diacyl-sn-glycerol(16:1(9Z)/16:0)","[['BIGG', 'cdp12dgr1619Z160'], ['BIGG', 'cdp12dgr1619Z160_c']]",,0,,0.0,,
7815,cdp12dgr161,"CDP-1,2-diacyl-sn-glycerol(16:1(9Z)/16:1(9Z))","[['BIGG', 'cdp12dgr161'], ['BIGG', 'cdp12dgr161_c']]",,0,,0.0,,
7816,cdp12dgr205n3160,"CDP-1,2-diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)","[['BIGG', 'cdp12dgr205n3160'], ['BIGG', 'cdp12dgr205n3160_c']]",,0,,0.0,,
7817,cdp12dgr205n31619Z,"CDP-1,2-diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))","[['BIGG', 'cdp12dgr205n31619Z'], ['BIGG', 'cdp12dgr205n31619Z_c']]",,0,,0.0,,
7818,cdp12dgr205n3,"CDP-1,2-diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))","[['BIGG', 'cdp12dgr205n3'], ['BIGG', 'cdp12dgr205n3_c']]",,0,,0.0,,
7819,cdp12dgr1619Z182n6,"CDP-1,2-diacyl-sn-glycerol(16:1(9Z)/18:2(9Z,12Z))","[['BIGG', 'cdp12dgr1619Z182n6'], ['BIGG', 'cdp12dgr1619Z182n6_c']]",,0,,0.0,,
7820,pa1619Z182n6,"1-9-hexadecenoyl-2-9,12-octadecadienoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa1619Z182n6'], ['BIGG', 'pa1619Z182n6_c']]",,0,,0.0,,
7821,cdp12dgr182n6205n3,"CDP-1,2-diacyl-sn-glycerol(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))","[['BIGG', 'cdp12dgr182n6205n3'], ['BIGG', 'cdp12dgr182n6205n3_c']]",,0,,0.0,,
7822,12dgr140180,"1,2-Diacyl-sn-glycerol(14:0/18:0)","[['BIGG', '12dgr140180'], ['BIGG', '12dgr140180_c']]",,0,,0.0,,
7823,12dgr1619Z1819Z,"1,2-Diacyl-sn-glycerol(16:1(9Z)/18:1(9Z))","[['BIGG', '12dgr1619Z1819Z'], ['BIGG', '12dgr1619Z1819Z_c']]",,0,,0.0,,
7824,12dgr226n31819Z,"1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))","[['BIGG', '12dgr226n31819Z'], ['BIGG', '12dgr226n31819Z_c']]",,0,,0.0,,
7825,12dgr140182n6,"1,2-Diacyl-sn-glycerol(14:0/18:2(9Z,12Z))","[['BIGG', '12dgr140182n6'], ['BIGG', '12dgr140182n6_c']]",,0,,0.0,,
7826,pa140182n6,"1-tetradecanoyl-2-9,12-octadecadienoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa140182n6'], ['BIGG', 'pa140182n6_c']]",,0,,0.0,,
7827,12dgr160182n6,"1,2-Diacyl-sn-glycerol(16:0/18:2(9Z,12Z))","[['BIGG', '12dgr160182n6'], ['BIGG', '12dgr160182n6_c']]",,0,,0.0,,
7828,pa160182n6,"1-hexadecanoyl-2-9,12-octadecadienoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa160182n6'], ['BIGG', 'pa160182n6_c']]",,0,,0.0,,
7829,12dgr182n6180,"1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/18:0)","[['BIGG', '12dgr182n6180'], ['BIGG', '12dgr182n6180_c']]",,0,,0.0,,
7830,pa182n6180,"1-9,12-octadecadienoyl-2-octadecanoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa182n6180'], ['BIGG', 'pa182n6180_c']]",,0,,0.0,,
7831,12dgr160183n6,"1,2-Diacyl-sn-glycerol(16:0/18:3(6Z,9Z,12Z))","[['BIGG', '12dgr160183n6'], ['BIGG', '12dgr160183n6_c']]",,0,,0.0,,
7832,12dgr205n3183n6,"1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/18:3(6Z,9Z,12Z))","[['BIGG', '12dgr205n3183n6'], ['BIGG', '12dgr205n3183n6_c']]",,0,,0.0,,
7833,12dgr1619Z183n3,"1,2-Diacyl-sn-glycerol(16:1(9Z)/18:3(9Z,12Z,15Z))","[['BIGG', '12dgr1619Z183n3'], ['BIGG', '12dgr1619Z183n3_c']]",,0,,0.0,,
7834,12dgr1819Z183n3,"1,2-Diacyl-sn-glycerol(18:1(9Z)/18:3(9Z,12Z,15Z))","[['BIGG', '12dgr1819Z183n3'], ['BIGG', '12dgr1819Z183n3_c']]",,0,,0.0,,
7835,12dgr160204n6,"1,2-Diacyl-sn-glycerol(16:0/20:4(5Z,8Z,11Z,14Z))","[['BIGG', '12dgr160204n6'], ['BIGG', '12dgr160204n6_c']]",,0,,0.0,,
7836,12dgr1619Z204n6,"1,2-Diacyl-sn-glycerol(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))","[['BIGG', '12dgr1619Z204n6'], ['BIGG', '12dgr1619Z204n6_c']]",,0,,0.0,,
7837,pa1619Z204n6,"1-9-hexadecenoyl-2-5,8,11,14-eicosatetraenoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa1619Z204n6'], ['BIGG', 'pa1619Z204n6_c']]",,0,,0.0,,
7838,12dgr1819Z204n6,"1,2-Diacyl-sn-glycerol(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","[['BIGG', '12dgr1819Z204n6'], ['BIGG', '12dgr1819Z204n6_c']]",,0,,0.0,,
7839,pa1819Z204n6,"1-9-octadecenoyl-2-5,8,11,14-eicosatetraenoyl-sn-glycerol-3-phosphate","[['BIGG', 'pa1819Z204n6'], ['BIGG', 'pa1819Z204n6_c']]",,0,,0.0,,
7840,pe140160,Phosphatidylethanolamine(14:0/16:0),"[['BIGG', 'pe140160'], ['BIGG', 'pe140160_c']]",,0,,0.0,,
7841,pe140226n3,"Phosphatidylethanolamine(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[['BIGG', 'pe140226n3'], ['BIGG', 'pe140226n3_c']]",,0,,0.0,,
7842,12dgr160140,"1,2-Diacyl-sn-glycerol(16:0/14:0)","[['BIGG', '12dgr160140'], ['BIGG', '12dgr160140_c']]",,0,,0.0,,
7843,pe160140,Phosphatidylethanolamine(16:0/14:0),"[['BIGG', 'pe160140'], ['BIGG', 'pe160140_c']]",,0,,0.0,,
7844,pe160205n3,"Phosphatidylethanolamine(16:0/20:5(5Z,8Z,11Z,14Z,17Z))","[['BIGG', 'pe160205n3'], ['BIGG', 'pe160205n3_c']]",,0,,0.0,,
7845,pe1619Z180,Phosphatidylethanolamine(16:1(9Z)/18:0),"[['BIGG', 'pe1619Z180'], ['BIGG', 'pe1619Z180_c']]",,0,,0.0,,
7846,12dgr1619Z226n3,"1,2-Diacyl-sn-glycerol(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[['BIGG', '12dgr1619Z226n3'], ['BIGG', '12dgr1619Z226n3_c']]",,0,,0.0,,
7847,pe1619Z226n3,"Phosphatidylethanolamine(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[['BIGG', 'pe1619Z226n3'], ['BIGG', 'pe1619Z226n3_c']]",,0,,0.0,,
7848,pe180205n3,"Phosphatidylethanolamine(18:0/20:5(5Z,8Z,11Z,14Z,17Z))","[['BIGG', 'pe180205n3'], ['BIGG', 'pe180205n3_c']]",,0,,0.0,,
7849,pe1819Z1619Z,Phosphatidylethanolamine(18:1(9Z)/16:1(9Z)),"[['BIGG', 'pe1819Z1619Z'], ['BIGG', 'pe1819Z1619Z_c']]",,0,,0.0,,
7850,pe181_9,Phosphatidylethanolamine(18:1(9Z)/18:1(9Z)),"[['BIGG', 'pe181_9'], ['BIGG', 'pe181_9_c']]",,0,,0.0,,
7851,pe1819Z205n3,"Phosphatidylethanolamine(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","[['BIGG', 'pe1819Z205n3'], ['BIGG', 'pe1819Z205n3_c']]",,0,,0.0,,
7852,pe1819Z226n3,"Phosphatidylethanolamine(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[['BIGG', 'pe1819Z226n3'], ['BIGG', 'pe1819Z226n3_c']]",,0,,0.0,,
7853,12dgr205n3160,"1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)","[['BIGG', '12dgr205n3160'], ['BIGG', '12dgr205n3160_c']]",,0,,0.0,,
7854,pe205n3160,"Phosphatidylethanolamine(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)","[['BIGG', 'pe205n3160'], ['BIGG', 'pe205n3160_c']]",,0,,0.0,,
7855,12dgr205n31619Z,"1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))","[['BIGG', '12dgr205n31619Z'], ['BIGG', '12dgr205n31619Z_c']]",,0,,0.0,,
7856,pe205n31619Z,"Phosphatidylethanolamine(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))","[['BIGG', 'pe205n31619Z'], ['BIGG', 'pe205n31619Z_c']]",,0,,0.0,,
7857,pe205n3180,"Phosphatidylethanolamine(20:5(5Z,8Z,11Z,14Z,17Z)/18:0)","[['BIGG', 'pe205n3180'], ['BIGG', 'pe205n3180_c']]",,0,,0.0,,
7858,pe205n31819Z,"Phosphatidylethanolamine(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))","[['BIGG', 'pe205n31819Z'], ['BIGG', 'pe205n31819Z_c']]",,0,,0.0,,
7859,pe205n3,"Phosphatidylethanolamine(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))","[['BIGG', 'pe205n3'], ['BIGG', 'pe205n3_c']]",,0,,0.0,,
7860,pe226n31619Z,"Phosphatidylethanolamine(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:1(9Z))","[['BIGG', 'pe226n31619Z'], ['BIGG', 'pe226n31619Z_c']]",,0,,0.0,,
7861,pe226n31819Z,"Phosphatidylethanolamine(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))","[['BIGG', 'pe226n31819Z'], ['BIGG', 'pe226n31819Z_c']]",,0,,0.0,,
7862,pe226n3,"Phosphatidylethanolamine(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[['BIGG', 'pe226n3'], ['BIGG', 'pe226n3_c']]",,0,,0.0,,
7863,pe182n6160,"Phosphatidylethanolamine(18:2(9Z,12Z)/16:0)","[['BIGG', 'pe182n6160'], ['BIGG', 'pe182n6160_c']]",,0,,0.0,,
7864,pe182n61619Z,"Phosphatidylethanolamine(18:2(9Z,12Z)/16:1(9Z))","[['BIGG', 'pe182n61619Z'], ['BIGG', 'pe182n61619Z_c']]",,0,,0.0,,
7865,pe182n6180,"Phosphatidylethanolamine(18:2(9Z,12Z)/18:0)","[['BIGG', 'pe182n6180'], ['BIGG', 'pe182n6180_c']]",,0,,0.0,,
7866,pe182_9_12,"Phosphatidylethanolamine(18:2(9Z,12Z)/18:2(9Z,12Z))","[['BIGG', 'pe182_9_12'], ['BIGG', 'pe182_9_12_c']]",,0,,0.0,,
7867,pe182n6205n3,"Phosphatidylethanolamine(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))","[['BIGG', 'pe182n6205n3'], ['BIGG', 'pe182n6205n3_c']]",,0,,0.0,,
7868,pe182n6226n3,"Phosphatidylethanolamine(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[['BIGG', 'pe182n6226n3'], ['BIGG', 'pe182n6226n3_c']]",,0,,0.0,,
7869,pe205n3182n6,"Phosphatidylethanolamine(20:5(5Z,8Z,11Z,14Z,17Z)/18:2(9Z,12Z))","[['BIGG', 'pe205n3182n6'], ['BIGG', 'pe205n3182n6_c']]",,0,,0.0,,
7870,12dgr140183n6,"1,2-Diacyl-sn-glycerol(14:0/18:3(6Z,9Z,12Z))","[['BIGG', '12dgr140183n6'], ['BIGG', '12dgr140183n6_c']]",,0,,0.0,,
7871,pe140183n6,"Phosphatidylethanolamine(14:0/18:3(6Z,9Z,12Z))","[['BIGG', 'pe140183n6'], ['BIGG', 'pe140183n6_c']]",,0,,0.0,,
7872,12dgr1619Z183n6,"1,2-Diacyl-sn-glycerol(16:1(9Z)/18:3(6Z,9Z,12Z))","[['BIGG', '12dgr1619Z183n6'], ['BIGG', '12dgr1619Z183n6_c']]",,0,,0.0,,
7873,pe1619Z183n6,"Phosphatidylethanolamine(16:1(9Z)/18:3(6Z,9Z,12Z))","[['BIGG', 'pe1619Z183n6'], ['BIGG', 'pe1619Z183n6_c']]",,0,,0.0,,
7874,pe180183n6,"Phosphatidylethanolamine(18:0/18:3(6Z,9Z,12Z))","[['BIGG', 'pe180183n6'], ['BIGG', 'pe180183n6_c']]",,0,,0.0,,
7875,12dgr182n6183n6,"1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))","[['BIGG', '12dgr182n6183n6'], ['BIGG', '12dgr182n6183n6_c']]",,0,,0.0,,
7876,pe182n6183n6,"Phosphatidylethanolamine(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))","[['BIGG', 'pe182n6183n6'], ['BIGG', 'pe182n6183n6_c']]",,0,,0.0,,
7877,pe1819Z183n6,"Phosphatidylethanolamine(18:1(9Z)/18:3(6Z,9Z,12Z))","[['BIGG', 'pe1819Z183n6'], ['BIGG', 'pe1819Z183n6_c']]",,0,,0.0,,
7878,pe226n3183n6,"Phosphatidylethanolamine(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z))","[['BIGG', 'pe226n3183n6'], ['BIGG', 'pe226n3183n6_c']]",,0,,0.0,,
7879,pe1619Z183n3,"Phosphatidylethanolamine(16:1(9Z)/18:3(9Z,12Z,15Z))","[['BIGG', 'pe1619Z183n3'], ['BIGG', 'pe1619Z183n3_c']]",,0,,0.0,,
7880,12dgr180183n3,"1,2-Diacyl-sn-glycerol(18:0/18:3(9Z,12Z,15Z))","[['BIGG', '12dgr180183n3'], ['BIGG', '12dgr180183n3_c']]",,0,,0.0,,
7881,pe180183n3,"Phosphatidylethanolamine(18:0/18:3(9Z,12Z,15Z))","[['BIGG', 'pe180183n3'], ['BIGG', 'pe180183n3_c']]",,0,,0.0,,
7882,12dgr182n6183n3,"1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))","[['BIGG', '12dgr182n6183n3'], ['BIGG', '12dgr182n6183n3_c']]",,0,,0.0,,
7883,pe182n6183n3,"Phosphatidylethanolamine(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))","[['BIGG', 'pe182n6183n3'], ['BIGG', 'pe182n6183n3_c']]",,0,,0.0,,
7884,pe1819Z183n3,"Phosphatidylethanolamine(18:1(9Z)/18:3(9Z,12Z,15Z))","[['BIGG', 'pe1819Z183n3'], ['BIGG', 'pe1819Z183n3_c']]",,0,,0.0,,
7885,pe1619Z204n6,"Phosphatidylethanolamine(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))","[['BIGG', 'pe1619Z204n6'], ['BIGG', 'pe1619Z204n6_c']]",,0,,0.0,,
7886,pe226n3204n6,"Phosphatidylethanolamine(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))","[['BIGG', 'pe226n3204n6'], ['BIGG', 'pe226n3204n6_c']]",,0,,0.0,,
7887,pail1601619Z,Phosphatidylinositol(16:0/16:1(9Z)),"[['BIGG', 'pail1601619Z'], ['BIGG', 'pail1601619Z_c']]",,0,,0.0,,
7888,cdp12dgr160205n3,"CDP-1,2-diacyl-sn-glycerol(16:0/20:5(5Z,8Z,11Z,14Z,17Z))","[['BIGG', 'cdp12dgr160205n3'], ['BIGG', 'cdp12dgr160205n3_c']]",,0,,0.0,,
7889,pail160205n3,"Phosphatidylinositol(16:0/20:5(5Z,8Z,11Z,14Z,17Z))","[['BIGG', 'pail160205n3'], ['BIGG', 'pail160205n3_c']]",,0,,0.0,,
7890,pail205n3,"Phosphatidylinositol(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))","[['BIGG', 'pail205n3'], ['BIGG', 'pail205n3_c']]",,0,,0.0,,
7891,cdp12dgr182n6160,"CDP-1,2-diacyl-sn-glycerol(18:2(9Z,12Z)/16:0)","[['BIGG', 'cdp12dgr182n6160'], ['BIGG', 'cdp12dgr182n6160_c']]",,0,,0.0,,
7892,pail182n6160,"Phosphatidylinositol(18:2(9Z,12Z)/16:0)","[['BIGG', 'pail182n6160'], ['BIGG', 'pail182n6160_c']]",,0,,0.0,,
7893,cdp12dgr182n61619Z,"CDP-1,2-diacyl-sn-glycerol(18:2(9Z,12Z)/16:1(9Z))","[['BIGG', 'cdp12dgr182n61619Z'], ['BIGG', 'cdp12dgr182n61619Z_c']]",,0,,0.0,,
7894,pail182n61619Z,"Phosphatidylinositol(18:2(9Z,12Z)/16:1(9Z))","[['BIGG', 'pail182n61619Z'], ['BIGG', 'pail182n61619Z_c']]",,0,,0.0,,
7895,cdp12dgr182_9_12,"CDP-1,2-diacyl-sn-glycerol(18:2(9Z,12Z)/18:2(9Z,12Z))","[['BIGG', 'cdp12dgr182_9_12'], ['BIGG', 'cdp12dgr182_9_12_c']]",,0,,0.0,,
7896,pail182_9_12,"Phosphatidylinositol(18:2(9Z,12Z)/18:2(9Z,12Z))","[['BIGG', 'pail182_9_12'], ['BIGG', 'pail182_9_12_c']]",,0,,0.0,,
7897,pail182n6205n3,"Phosphatidylinositol(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))","[['BIGG', 'pail182n6205n3'], ['BIGG', 'pail182n6205n3_c']]",,0,,0.0,,
7898,cdp12dgr205n3182n6,"CDP-1,2-diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/18:2(9Z,12Z))","[['BIGG', 'cdp12dgr205n3182n6'], ['BIGG', 'cdp12dgr205n3182n6_c']]",,0,,0.0,,
7899,pail205n3182n6,"Phosphatidylinositol(20:5(5Z,8Z,11Z,14Z,17Z)/18:2(9Z,12Z))","[['BIGG', 'pail205n3182n6'], ['BIGG', 'pail205n3182n6_c']]",,0,,0.0,,
